,FIRMS_18_lat,FIRMS_18_lng,FIRMS_18_cf,FIRMS_18_aq,dist_between,no,postal_code
250,-34.10368,150.96361,h,10/03/2019,7.953221157,9520,2233
251,-34.10368,150.96361,h,10/03/2019,14.6595384,9521,2228
252,-34.10368,150.96361,h,10/03/2019,14.46713726,9522,2228
253,-34.10368,150.96361,h,10/03/2019,14.53864519,9524,2234
254,-34.10368,150.96361,h,10/03/2019,9.231339773,9536,2234
255,-34.10368,150.96361,h,10/03/2019,13.56899853,9643,2234
256,-34.10368,150.96361,h,10/03/2019,14.65986663,9722,2225
257,-34.10368,150.96361,h,10/03/2019,11.80630962,9823,2234
258,-34.10368,150.96361,h,10/03/2019,13.05935153,9954,2234
259,-34.10368,150.96361,h,10/03/2019,13.13585172,9959,2232
260,-34.10368,150.96361,h,10/03/2019,10.88455212,9988,2234
261,-34.10368,150.96361,h,10/03/2019,12.04566542,9995,2566
262,-34.10368,150.96361,h,10/03/2019,12.36000855,10101,2232
263,-34.10368,150.96361,h,10/03/2019,11.67667662,10102,2232
264,-34.10368,150.96361,h,10/03/2019,12.6525061,10103,2232
265,-34.10368,150.96361,h,10/03/2019,14.55051544,10178,2226
266,-34.10368,150.96361,h,10/03/2019,5.857594341,10204,2233
267,-34.10368,150.96361,h,10/03/2019,6.908296359,10205,2233
268,-34.10368,150.96361,h,10/03/2019,12.72059527,10227,2227
269,-34.10368,150.96361,h,10/03/2019,5.556031257,10429,2233
270,-34.10368,150.96361,h,10/03/2019,13.91634907,10444,2227
271,-34.10368,150.96361,h,10/03/2019,12.53026793,10445,2227
272,-34.10368,150.96361,h,10/03/2019,13.80625447,10554,2228
273,-34.10368,150.96361,h,10/03/2019,4.209086643,10642,2233
274,-34.10368,150.96361,h,10/03/2019,13.61054409,10647,2234
275,-34.10368,150.96361,h,10/03/2019,13.37631929,10654,2232
276,-34.10368,150.96361,h,10/03/2019,10.47820534,10669,2234
277,-34.10368,150.96361,h,10/03/2019,14.03782375,10924,2213
278,-34.10368,150.96361,h,10/03/2019,14.73261681,11013,2226
279,-34.10368,150.96361,h,10/03/2019,14.24532183,11050,2226
280,-34.10368,150.96361,h,10/03/2019,12.9544881,11054,2232
281,-34.10368,150.96361,h,10/03/2019,13.77085891,11055,2232
282,-34.10368,150.96361,h,10/03/2019,12.51546775,11061,2560
283,-34.10368,150.96361,h,10/03/2019,14.37658458,11093,2213
284,-34.10368,150.96361,h,10/03/2019,11.75956805,11119,2232
285,-34.10368,150.96361,h,10/03/2019,8.805763024,11151,2234
286,-34.10368,150.96361,h,10/03/2019,9.211461834,11152,2234
287,-34.10368,150.96361,h,10/03/2019,13.35781452,11220,2227
288,-34.10368,150.96361,h,10/03/2019,9.348489587,11241,2232
289,-34.10368,150.96361,h,10/03/2019,13.07907773,11251,2566
290,-34.10368,150.96361,h,10/03/2019,14.89600953,11271,2225
291,-34.10368,150.96361,h,10/03/2019,10.5263119,11406,2232
292,-34.10368,150.96361,h,10/03/2019,11.64249988,11413,2234
293,-34.10368,150.96361,h,10/03/2019,14.58209396,11414,2228
294,-34.10368,150.96361,h,10/03/2019,14.3984958,11415,2228
295,-34.10368,150.96361,h,10/03/2019,12.32095146,11460,2232
296,-34.10368,150.96361,h,10/03/2019,13.35955522,11585,2227
297,-34.10368,150.96361,h,10/03/2019,13.74180677,11604,2232
298,-34.10368,150.96361,h,10/03/2019,14.75985993,11632,2228
299,-34.10368,150.96361,h,10/03/2019,14.75985993,11633,2228
300,-34.10368,150.96361,h,10/03/2019,12.75613842,11851,2227
301,-34.10368,150.96361,h,10/03/2019,4.343684808,11852,2233
302,-34.10368,150.96361,h,10/03/2019,12.34662848,11865,2232
303,-34.10368,150.96361,h,10/03/2019,14.94454621,11960,2560
304,-34.10368,150.96361,h,10/03/2019,10.83792542,11975,2234
305,-34.10368,150.96361,h,10/03/2019,14.86122771,12015,2226
306,-34.10368,150.96361,h,10/03/2019,12.19968102,12067,2232
307,-34.10368,150.96361,h,10/03/2019,13.26683255,12078,2227
308,-34.10368,150.96361,h,10/03/2019,12.74990626,12092,2234
309,-34.10368,150.96361,h,10/03/2019,13.84465299,12093,2565
310,-34.10368,150.96361,h,10/03/2019,14.1512041,12094,2565
311,-34.10368,150.96361,h,10/03/2019,14.02900742,12095,2226
312,-34.10368,150.96361,h,10/03/2019,14.90630254,12126,2210
313,-34.10368,150.96361,h,10/03/2019,14.68122801,12140,2228
314,-34.10368,150.96361,h,10/03/2019,8.098481366,12234,2233
315,-34.10368,150.96361,h,10/03/2019,13.43640528,12286,2234
316,-34.10368,150.96361,h,10/03/2019,10.18442604,12339,2233
317,-34.10368,150.96361,h,10/03/2019,8.617261532,12340,2233
318,-34.10368,150.96361,h,10/03/2019,14.21713162,12341,2228
