price,distance_from_CBD,distance_from_closest_private_school,distance_from_closest_public_school,distance_from_closest_station,Violent.Crime,Non.Violent.Crime,Drug.offences
980000,3.219762412,0.402,0.568,0.383,263,1886,1402
2221000,4.227298861,0.655,0.476,0.813,263,1886,1402
835000,3.743586474,0.706,0.17,0.663,263,1886,1402
1805000,4.179874721,0.533,0.407,0.692,263,1886,1402
1900000,3.994167204,0.58,0.25,0.765,263,1886,1402
1000000,4.157572215,0.652,0.417,0.82,263,1886,1402
1940000,4.072266246,0.604,0.327,0.781,263,1886,1402
882000,5.842737016,0.738,0.146,0.896,263,1886,1402
1100000,3.830047207,0.563,0.099,0.755,263,1886,1402
1510000,3.549959417,0.583,0.239,0.732,263,1886,1402
1250000,3.929057266,0.691,0.192,0.854,263,1886,1402
870000,5.842737016,0.738,0.146,0.896,263,1886,1402
1675000,3.477882586,0.611,0.327,0.636,263,1886,1402
1340000,4.430366179,0.583,0.576,0.681,263,1886,1402
700000,5.639344247,0.845,0.215,1.078,263,1886,1402
920000,4.157405045,0.651,0.417,0.819,263,1886,1402
1000000,5.31545612,1.083,0.537,1.116,263,1886,1402
1680000,4.158935716,0.483,0.384,0.645,263,1886,1402
2105000,4.313975312,0.672,0.553,0.815,263,1886,1402
785000,5.938737724,0.761,0.266,0.759,263,1886,1402
1400000,4.603731161,0.699,0.655,0.706,263,1886,1402
1321000,3.609724263,0.469,0.257,0.616,263,1886,1402
1299000,4.502018225,0.649,0.631,0.736,263,1886,1402
870000,3.918574418,0.591,0.163,0.294,263,1886,1402
623000,4.495651587,0.769,0.73,0.883,263,1886,1402
1585000,3.973246636,0.453,0.198,0.639,263,1886,1402
1865000,4.48255387,0.637,0.623,0.729,263,1886,1402
1875000,4.487105949,0.736,0.717,0.847,263,1886,1402
1460000,3.872717104,0.291,0.214,0.482,263,1886,1402
1850000,3.754225855,0.27,0.377,0.413,263,1886,1402
1700000,4.013164681,0.667,0.276,0.85,263,1886,1402
1900000,4.378518763,0.619,0.604,0.741,263,1886,1402
780000,5.376798629,1.025,0.476,1.178,263,1886,1402
760000,3.759326679,0.499,0.286,0.456,263,1886,1402
1301000,3.916768698,0.52,0.153,0.709,263,1886,1402
1875000,4.348961575,0.638,0.578,0.77,263,1886,1402
1325000,4.947120334,1.46,0.897,0.76,263,1886,1402
1890000,4.958285374,1.459,0.886,0.778,263,1886,1402
1405000,4.798999906,1.404,0.855,0.605,263,1886,1402
1060000,4.856643218,1.454,0.909,0.657,263,1886,1402
825000,4.704339767,1.309,0.76,0.51,263,1886,1402
705000,2.805537056,0.178,0.71,0.078,665,6622,867
995000,3.045303377,0.303,0.746,0.205,665,6622,867
939000,2.934894159,0.195,0.811,0.094,665,6622,867
1955000,2.954484738,0.606,0.63,0.777,665,6622,867
1150000,2.486415735,0.266,0.305,0.366,665,6622,867
1150000,2.50702191,0.568,0.317,0.472,665,6622,867
1070000,2.43601681,0.341,0.367,0.335,665,6622,867
1387500,2.820004953,0.1,0.547,0.391,665,6622,867
1595000,2.995005393,0.663,0.688,0.822,665,6622,867
1665000,2.425513648,0.494,0.169,0.484,665,6622,867
785111,2.805537056,0.178,0.71,0.078,665,6622,867
1055000,2.763306179,0.18,0.672,0.046,665,6622,867
2225000,2.867232798,0.394,0.333,0.466,665,6622,867
2040000,2.674911518,0.363,0.384,0.655,665,6622,867
1295000,3.006906176,0.576,0.589,0.701,665,6622,867
1500000,3.062912989,0.679,0.732,0.887,665,6622,867
1775000,2.846308102,0.373,0.317,0.459,665,6622,867
1178000,2.485429289,0.29,0.22,0.473,665,6622,867
1330000,3.09467159,0.615,0.789,0.926,665,6622,867
1400000,2.460796106,0.48,0.414,0.354,665,6622,867
1800000,2.38044769,0.379,0.173,0.501,665,6622,867
1625000,3.101826412,0.713,0.731,0.85,665,6622,867
970000,3.015707497,0.24,0.764,0.227,665,6622,867
602000,3.051331491,0.567,0.805,0.898,665,6622,867
